userId,movieId,rating,timestamp
U001,M001,5,2023-01-15
U001,M002,5,2023-01-20
U001,M005,4,2023-02-10
U001,M007,5,2023-02-18
U001,M019,4,2023-03-05
U001,M025,5,2023-03-10
U002,M003,5,2023-01-08
U002,M006,4,2023-01-22
U002,M014,5,2023-02-01
U002,M013,4,2023-02-14
U002,M009,3,2023-03-20
U003,M008,5,2023-01-05
U003,M015,5,2023-01-19
U003,M017,4,2023-02-08
U003,M022,5,2023-02-25
U003,M023,4,2023-03-15
U004,M003,4,2023-01-12
U004,M014,5,2023-01-30
U004,M006,4,2023-02-20
U004,M009,5,2023-03-08
U004,M013,3,2023-03-25
U005,M008,4,2023-01-07
U005,M017,5,2023-01-28
U005,M018,5,2023-02-12
U005,M022,4,2023-02-28
U005,M023,5,2023-03-18
U006,M004,5,2023-01-10
U006,M010,4,2023-01-25
U006,M016,5,2023-02-05
U006,M021,4,2023-02-22
U006,M006,4,2023-03-12
U007,M001,4,2023-01-14
U007,M002,5,2023-01-29
U007,M007,5,2023-02-08
U007,M011,4,2023-02-24
U007,M019,5,2023-03-14
U008,M003,5,2023-01-06
U008,M014,4,2023-01-21
U008,M020,4,2023-02-09
U008,M024,3,2023-02-26
U008,M006,5,2023-03-16
U009,M015,4,2023-01-11
U009,M017,4,2023-01-26
U009,M018,5,2023-02-15
U009,M022,5,2023-03-02
U009,M008,4,2023-03-22
U010,M003,5,2023-01-09
U010,M006,4,2023-01-24
U010,M010,3,2023-02-13
U010,M016,5,2023-03-01
U010,M021,5,2023-03-20
U011,M001,5,2023-01-13
U011,M002,4,2023-01-27
U011,M005,5,2023-02-16
U011,M012,5,2023-03-04
U011,M025,4,2023-03-21
U012,M004,4,2023-01-16
U012,M009,5,2023-01-31
U012,M018,4,2023-02-17
U012,M020,5,2023-03-06
U012,M017,4,2023-03-23
U013,M002,5,2023-01-04
U013,M005,5,2023-01-23
U013,M012,4,2023-02-11
U013,M019,5,2023-02-27
U013,M025,5,2023-03-17
U014,M003,4,2023-01-17
U014,M014,5,2023-02-02
U014,M020,4,2023-02-19
U014,M024,5,2023-03-07
U014,M006,3,2023-03-24
U015,M008,5,2023-01-03
U015,M018,4,2023-01-22
U015,M022,5,2023-02-07
U015,M023,5,2023-02-23
U015,M015,4,2023-03-13
U016,M001,4,2023-01-18
U016,M007,5,2023-02-03
U016,M011,5,2023-02-20
U016,M019,4,2023-03-09
U016,M002,4,2023-03-26
U017,M001,5,2023-01-02
U017,M002,5,2023-01-20
U017,M005,5,2023-02-06
U017,M012,4,2023-02-21
U017,M025,5,2023-03-11
U018,M003,5,2023-01-19
U018,M006,5,2023-02-04
U018,M014,5,2023-02-21
U018,M024,4,2023-03-08
U018,M020,3,2023-03-27
U019,M010,4,2023-01-21
U019,M016,4,2023-02-06
U019,M021,5,2023-02-24
U019,M004,5,2023-03-10
U019,M022,4,2023-03-28
U020,M001,5,2023-01-08
U020,M007,5,2023-01-25
U020,M002,4,2023-02-12
U020,M019,5,2023-03-01
U020,M011,4,2023-03-19
